created_at,id,full_text,entities,is_quote_status,retweet_count,favorite_count,possibly_sensitive,keyword,location,hashtags_count,city,province,country,sentiment
Sat Dec 19 16:08:59 +0000 2020,1.34032828291976e+18,"General Gus Perna, Chief Operating Officer for Operation Warp Speed (#OWS), explains the five key tenets behind the successful operation to rapidly develop, produce and distribute a safe and effective #COVID19 vaccine to the American people.","['OWS', 'COVID19']",FALSE,246.0,983.0,FALSE,Covid19 vaccine,"Washington, D.C.",2.0,,DC,United States,pos
Wed Dec 23 00:30:31 +0000 2020,1.34154166260289e+18,"I'm somewhat concerned, but as I understand the current data, the vaccines should be effective against this strain as well. EVERONE, needs to get the vaccine ASAP, this is how we stop mutation, kill covid19, and get back to normal.",[],FALSE,0.0,0.0,,Covid19 vaccine,"Minnesota, USA",0.0,,MN,United States,pos
Tue Dec 22 21:37:00 +0000 2020,1.34149799386265e+18,"'Primary school children and secondary students already facing tremendous setbacks to their education'

- Damian Wilson

",[],FALSE,6.0,15.0,FALSE,Covid19 vaccine,,0.0,,,,neg
Sat Dec 19 13:10:07 +0000 2020,1.34028326891101e+18,"“Together, we will bring this pandemic to an end,” says Acting Secretary of Defense Christopher Miller. Find out more about the  newest emergency use authorization of a second #COVID19 vaccine:",['COVID19'],FALSE,144.0,660.0,FALSE,Covid19 vaccine,"Washington, D.C.",1.0,,DC,United States,neu
Sat Dec 19 12:25:06 +0000 2020,1.34027194316196e+18,The  emergency use authorization of Moderna’s #COVID19 vaccine will help bring a faster end to the pandemic. Learn the details:,['COVID19'],FALSE,224.0,1063.0,FALSE,Covid19 vaccine,"Washington, D.C.",1.0,,DC,United States,pos
Tue Dec 22 13:19:09 +0000 2020,1.34137270746895e+18,"Vaccine Minister, 

14/12/20:
‘No plans to place restrictions on those who refuse to have a Covid #vaccine.’

18/12/20:
Government publishes details of contract awarded to firms for #COVID19 Passport (next tweet).

They are lying to you.","['vaccine', 'COVID19']",FALSE,128.0,209.0,FALSE,Covid19 vaccine,"London, England",2.0,London,,United Kingdom,neg
Wed Dec 23 00:30:22 +0000 2020,1.34154162347842e+18,"Hey Kids, we thought Dr Fauci and his Cartel backers were lying to you about #Santa - but After much intense research, I finally discovered how #DrFauci managed to shoot #SantaClaus up with their rushed #COVID19 #vaccine. Its #Amazing.","['Santa', 'DrFauci', 'SantaClaus', 'COVID19', 'vaccine', 'Amazing']",FALSE,0.0,0.0,FALSE,Covid19 vaccine,,6.0,,,,pos
Wed Dec 23 00:30:12 +0000 2020,1.34154158094411e+18,"Thank you Debra! And thank you to all the frontline health workers who are providing care to our loved ones. 

Just as you protect us, the #COVID19 vaccine will protect you.",['COVID19'],TRUE,0.0,0.0,FALSE,Covid19 vaccine,Kanata-Carleton,1.0,Ottawa,ON,Canada,pos
Wed Dec 23 00:30:02 +0000 2020,1.34154153909338e+18,"Scammers Using Fake COVID-19 Vaccine Websites, ICE Warns  via",[],FALSE,0.0,1.0,FALSE,Covid19 vaccine,"Washington, DC",0.0,,DC,United States,neu
Tue Dec 22 14:50:00 +0000 2020,1.34139556908478e+18,"To vaccinate our nation – and to ensure everyone who wants to get a #COVID19 vaccine can do so – we must work together. Today, with  we’re announcing our support of the LyftUp Vaccine Access initiative to be there for our community members when they can’t get there alone.",['COVID19'],FALSE,12.0,43.0,,Covid19 vaccine,"Indianapolis, IN",1.0,Indianapolis,IN,United States,pos
Wed Dec 23 00:30:00 +0000 2020,1.34154153197545e+18,Sidney Regional Medical Center received its first shipment of the COVID-19 vaccine this week.,[],FALSE,0.0,0.0,FALSE,Covid19 vaccine,,0.0,,,,neu
Wed Dec 23 00:30:00 +0000 2020,1.34154153177849e+18,"Have you seen our new episode of Captain RDM yet?
This time, bad actors try to steal the #COVID19 #vaccine, but watch how Captain RDM and his wife, RDM save the day!
#Subscribe for more videos like this!

#cybersecurity #cyberattack #hackers","['COVID19', 'vaccine', 'Subscribe', 'cybersecurity', 'cyberattack', 'hackers']",FALSE,0.0,0.0,FALSE,Covid19 vaccine,"Rockville, Maryland",6.0,Rockville,MD,United States,pos
Tue Dec 22 23:36:31 +0000 2020,1.34152807275188e+18,"HOSPITAL WORKERS REFUSE TO TAKE COVID19 VACCINE
#scamdemic
#covid1984","['scamdemic', 'covid1984']",FALSE,2.0,5.0,FALSE,Covid19 vaccine,"London, England",2.0,London,,United Kingdom,neg
Wed Dec 23 00:29:38 +0000 2020,1.34154143817418e+18,"I guess there's no more fat people in America. Bc diabetes and heart disease is drastically down. I think they cured cancer, too. BTW, anyone getting a flu shot? Or did you already get your #COVID19 vaccine?",['COVID19'],FALSE,0.0,0.0,,Covid19 vaccine,"Florida, USA",1.0,,FL,United States,neu
Mon Dec 21 14:20:34 +0000 2020,1.34102577422945e+18,"Don't let ANYONE tell you ""it's no worse than the flu.""

#COVID19 is rampaging through America. We are not doing well with this #pandemic, and the best answers right now are to #StayHome and #WearAMask. Period.

For most of us the #vaccine is still months away.","['COVID19', 'pandemic', 'StayHome', 'WearAMask', 'vaccine']",FALSE,6.0,6.0,FALSE,Covid19 vaccine,"Durham, NC",5.0,Durham,NC,United States,neg
Wed Dec 23 00:29:25 +0000 2020,1.34154138456259e+18,"Q about #COVID19 vaccine: still recommended to take a Tylenol and/or Benadryl the morning of your shot? And, does it matter if it’s  or  Hoping #medtwitter has answers","['COVID19', 'medtwitter']",FALSE,0.0,0.0,,Covid19 vaccine,Atlanta,2.0,,,,neg
Tue Dec 22 23:08:47 +0000 2020,1.34152109212978e+18,"70m more doses of Pfizer-BioNTech #covid19 vaccine could be coming to US in second quarter, split evenly over April, May &amp; June, w a deal announced as soon as Wed. NYT (which 1st broke the news) reports US govt could use Defense Production Act to speed 30m more doses to Q2.",['covid19'],TRUE,25.0,80.0,FALSE,Covid19 vaccine,New York,1.0,New York,NY,United States,neu
Sat Dec 19 19:04:48 +0000 2020,1.34037252970639e+18,"Members of Congress are receiving the #COVID19 #vaccine this weekend.

That was fast.

Imagine if they moved this fast to provide relief to their constituents - people would’ve had help 6mos ago.

Meanwhile there aren’t enough shots for front line workers.","['COVID19', 'vaccine']",FALSE,106.0,395.0,,Covid19 vaccine,"Lancaster, Massachusetts",2.0,Lancaster,MA,United States,neg
Tue Dec 22 15:43:07 +0000 2020,1.34140893937684e+18,"MedStar Health researchers have launched a study to gain a better understanding of COVID19 spread, long-term effects and vaccine acceptance. Join our study to help in this groundbreaking research! Learn more here: 

#JoinTheFight.",['JoinTheFight'],FALSE,6.0,7.0,FALSE,Covid19 vaccine,"Columbia, MD",1.0,Columbia,MD,United States,neu
Mon Dec 21 20:28:15 +0000 2020,1.34111830489585e+18,"📣The #COVID19 vaccination process has begun at San Mateo Medical Center. 

👏Follow the process: from the delivery of ultra-cold freezers to storing the vaccine to giving shots to front-line health care workers.

➡️Video here:",['COVID19'],FALSE,7.0,20.0,FALSE,Covid19 vaccine,"San Mateo County, CA",1.0,San Mateo County,CA,United States,neu
Tue Dec 22 20:49:27 +0000 2020,1.34148602727861e+18,"New York has 1.2 million healthcare workers, 19.5 million people.
So far the State has received 96,000 doses of #COVID19 #vaccine.
So going............At this rate it will take 3 months just to vaccine the healthcare workers.","['COVID19', 'vaccine']",FALSE,224.0,413.0,FALSE,Covid19 vaccine,"New York, NY",2.0,New York,NY,United States,neg
Wed Dec 23 00:29:00 +0000 2020,1.34154127902973e+18,"Hoboken University Medical Center plans to inoculate all front line workers who want a COVID-19 vaccine by the end of January. 

 reports.",[],FALSE,0.0,0.0,FALSE,Covid19 vaccine,New Jersey,0.0,,NJ,United States,neu
Tue Dec 22 13:00:01 +0000 2020,1.3413678931671e+18,"#COVID19 vaccines will NOT give you COVID-19. Vaccines currently in development in US don't use live virus. Having symptoms like fever after you get a vaccine is normal + sign your immune system is learning to fight the virus.  

✔️ COVID-19 vaccine facts:",['COVID19'],FALSE,99.0,260.0,FALSE,Covid19 vaccine,"Harrisburg, PA",1.0,Harrisburg,PA,United States,neu
Tue Dec 22 17:56:02 +0000 2020,1.34144238716022e+18,#Dubai announces #COVID19 #Pfizer #vaccine campaign,"['Dubai', 'COVID19', 'Pfizer', 'vaccine']",FALSE,12.0,61.0,FALSE,Covid19 vaccine,United Arab Emirates,4.0,,,United Arab Emirates,neu
Wed Dec 23 00:28:13 +0000 2020,1.3415410851061e+18,Just got my Covid19 vaccine!! I trust Dr. Fauci!,[],FALSE,0.0,0.0,,Covid19 vaccine,"South Bend, IN",0.0,South Bend,IN,United States,pos
Tue Dec 22 23:59:10 +0000 2020,1.3415337744258e+18,Pregnant and unsure about the #COVID19 vaccine? You’re not alone. Got vaccinated today at 31 weeks and feel very fortunate. But it’s complicated. Here’s why I decided to go for it. 1/,['COVID19'],FALSE,4.0,29.0,FALSE,Covid19 vaccine,"Houston, TX",1.0,Houston,TX,United States,pos
Wed Dec 23 00:27:23 +0000 2020,1.34154087429184e+18,"Dr Anthony Fauci has gotten the #COVID19 vaccine live on air and is now encouraging Americans to get the jab as soon as it becomes available to them.

#tickertv #tickernews","['COVID19', 'tickertv', 'tickernews']",FALSE,1.0,0.0,FALSE,Covid19 vaccine,Melbourne,3.0,Melbourne,,Australia,neu
Wed Dec 23 00:27:47 +0000 2020,1.3415409749427e+18,"Dying after your covid19 vaccine is a normal response, in case you didnt know..",[],FALSE,0.0,0.0,FALSE,Covid19 vaccine,"Caroga Lake, NY",0.0,Caroga,NY,United States,neg
Wed Dec 23 00:27:39 +0000 2020,1.3415409401802e+18,Dr Vernon Coleman on COVID 19 vaccine side effects #COVID19,['COVID19'],FALSE,0.0,0.0,FALSE,Covid19 vaccine,Rockhampton Australia,1.0,Rockhampton,,Australia,neu
Tue Dec 22 23:30:57 +0000 2020,1.34152667357403e+18,"REMEMBER, she lied to you so you wouldn't protect yourself from Covid19.... then she walked right over your head to get to the front of the line for the vaccine leaving you out in the cold... again..... Joni is what is wrong with America",[],FALSE,1.0,1.0,FALSE,Covid19 vaccine,DC / DMV / and beyond,0.0,,,,neg
Wed Dec 23 00:21:21 +0000 2020,1.34153935436847e+18,"More Flawed Imperial College Models Led To Xmas Lockdown, PPE Foreknowledge &amp; Vaccine Side-Effects  #TheDailyWrapUp #COVID19 #UKLockdown #Vaccines #PPE #ImperialCollege #Masks","['TheDailyWrapUp', 'COVID19', 'UKLockdown', 'Vaccines', 'PPE', 'ImperialCollege', 'Masks']",FALSE,4.0,6.0,FALSE,Covid19 vaccine,"Hill Valley, California",7.0,Hill Valley,CA,United States,neu
Tue Dec 22 16:38:47 +0000 2020,1.34142294798311e+18,It's an exciting day for Wake County -- our first doses of the #COVID19 vaccine arrived this morning! We'll disperse the vaccines to our public health and medical staff this afternoon and vaccinate our paramedics and EMTs tomorrow. #VaccinateWake,"['COVID19', 'VaccinateWake']",FALSE,14.0,123.0,FALSE,Covid19 vaccine,"Raleigh, NC",2.0,Raleigh,NC,United States,pos
Tue Dec 22 17:00:01 +0000 2020,1.34142829124957e+18,"Experts from China's National Health Commission warned against taking experimental #COVID19 #vaccines during the two- or three-dose schedule of HPV vaccine shots, during a press conference on Monday.","['COVID19', 'vaccines']",FALSE,11.0,42.0,FALSE,Covid19 vaccine,"Beijing, China",2.0,Beijing,,China,neu
Tue Dec 22 13:52:03 +0000 2020,1.34138098617779e+18,"Proud to share  new #COVID19 #Vaccine Market Dashboard for the Global #COVAX Facility to ensure fair access to #vaccines for every country. See link for pipeline + development stage info, plus publicly announced supply agreements + price points.","['COVID19', 'Vaccine', 'COVAX', 'vaccines']",FALSE,9.0,43.0,FALSE,Covid19 vaccine,"Nairobi, Kenya",4.0,Nairobi,,Kenya,pos
Wed Dec 23 00:27:20 +0000 2020,1.3415408616797e+18,"Received my first dose of the #Moderna vaccine tonight. Feeling fine. As a Lifeflight Pilot, I can be exposed to positive #COVID19 patients. 
Even though I wear a mask during every flight, I’ll take any extra protection I can get. 

#vaccinated","['Moderna', 'COVID19', 'vaccinated']",FALSE,0.0,5.0,FALSE,Covid19 vaccine,"Sandusky, OH",3.0,Sandusky,OH,United States,pos
Tue Dec 22 16:45:46 +0000 2020,1.34142470331191e+18,"You may have seen CDC reporting 4.6 million doses of #COVID19 vaccine have been distributed &amp; 614,117 administered. Why the huge gap between doses distributed vs administered numbers? (short thread)",['COVID19'],FALSE,14.0,26.0,,Covid19 vaccine,Washington DC,1.0,,DC,United States,neu
Tue Dec 22 22:59:19 +0000 2020,1.34151871096886e+18,Health Canada greenlights Sask.-made COVID-19 vaccine candidate for human trials   #yqr #yxe #COVID19,"['yqr', 'yxe', 'COVID19']",FALSE,4.0,11.0,FALSE,Covid19 vaccine,"Regina, SK",3.0,Regina,SK,Canada,neu
Tue Dec 22 22:08:31 +0000 2020,1.341505924457e+18,"📍With looming vaccine shortage, Pfizer &amp; Trump HHS cuts deal to obtain more critical supplies. ➡️But, Pfizer first started asking for Trump WH help in obtaining supplies as early as Sept—yet Pfizer was completely ignored by Trump WH for 3 months! #COVID19",['COVID19'],FALSE,227.0,451.0,FALSE,Covid19 vaccine,Washington DC & Virginia,1.0,,,United States,neg
Tue Dec 22 21:59:56 +0000 2020,1.34150376525866e+18,"Excited to share double the good news- I am expecting and vaccinated! 

So grateful to have received my first dose of the COVID-19 vaccine  and from none other than  

 #COVID19 #vaccinatingfor2","['COVID19', 'vaccinatingfor2']",FALSE,9.0,123.0,FALSE,Covid19 vaccine,"Ann Arbor, MI",2.0,Ann Arbor,MI,United States,pos
Wed Dec 23 00:26:57 +0000 2020,1.34154076288707e+18,"Apparently, I spoke too soon ... the PTB don’t think we can handle the truth of what the, “shots” will do to us! #nursefainted #vaccine #COVID19 #Moderna #Pfizer #Fauci #Birx","['nursefainted', 'vaccine', 'COVID19', 'Moderna', 'Pfizer', 'Fauci', 'Birx']",FALSE,0.0,0.0,FALSE,Covid19 vaccine,"Colorado, USA",7.0,,CO,United States,neg
Tue Dec 22 02:43:42 +0000 2020,1.3412127923852e+18,"📝Covid19 vaccine
 (via GoldmanSachs/SoberLook )

• U.S. hospital demand for Lilly, Regeneron COVID-19 antibody drugs 'disappointing'",[],FALSE,1.0,2.0,FALSE,Covid19 vaccine,"Philadelphia, PA",0.0,Philadelphia,PA,United States,neg
Wed Dec 23 00:26:47 +0000 2020,1.34154072124602e+18,COVID-19 vaccine card is not an immunity passport. Here's the difference  via  #COVID19 #COVID19Vaccine It's a reminder card for the second dose.  That's it.  You still have to mask and social distance.,"['COVID19', 'COVID19Vaccine']",FALSE,0.0,0.0,FALSE,Covid19 vaccine,USA,2.0,,,United States,neu
Tue Dec 22 21:51:23 +0000 2020,1.34150161514079e+18,"How do the leading jabs compare? 
After a year of breakneck research and development, several experimental inoculations are on the cusp of regulatory approval


#vaccine #COVID19 #pandemic #health #healthcare #IBD #medtwittter","['vaccine', 'COVID19', 'pandemic', 'health', 'healthcare', 'IBD', 'medtwittter']",FALSE,1.0,1.0,FALSE,Covid19 vaccine,"Philadelphia, PA",7.0,Philadelphia,PA,United States,neu
Tue Dec 22 21:55:33 +0000 2020,1.34150266274374e+18,"BioNTech says it can produce new vaccine for Covid variant in 6 weeks
Chief Ugur Sahin expects existing shot to be effective but it can be tweaked if needed


• New Variant Of Coronavirus In U.K
 #vaccine #COVID19","['vaccine', 'COVID19']",FALSE,1.0,1.0,FALSE,Covid19 vaccine,"Philadelphia, PA",2.0,Philadelphia,PA,United States,neu
Tue Dec 22 22:48:55 +0000 2020,1.34151609234746e+18,"“Seeing how quickly he deteriorated, I do not want anybody to ever experience what we have. Not even my worst enemy.""

Krystal Meloche, a PSW, has become the first person vaccinated against #COVID19 in #Windsor. Her dad died from the disease in June.","['COVID19', 'Windsor']",FALSE,5.0,8.0,FALSE,Covid19 vaccine,,2.0,,,,neg
Tue Dec 22 23:52:19 +0000 2020,1.34153204767699e+18,"Last night I voted in favor of the #COVID19 emergency relief package - bipartisan legislation that includes relief for our schools, workers, families, &amp; small businesses, along with money for vaccine distribution. 

Help is on the way!",['COVID19'],FALSE,2.0,27.0,,Covid19 vaccine,Ohio,1.0,,OH,United States,pos
Wed Dec 23 00:26:17 +0000 2020,1.34154059526593e+18,"Just saw  on  talking about #COVID19 &amp; problem with your case sir is that COV #’s R up even with everyone wearing masks. If they worked this wouldn’t be true and there’s a lot of folks that won’t be taking the vaccine cuz of mistrust. I’m 1.
#NoVaccineForMe","['COVID19', 'NoVaccineForMe']",FALSE,0.0,0.0,,Covid19 vaccine,"Mcloud, OK",2.0,McLoud,OK,United States,neg
Wed Dec 23 00:26:04 +0000 2020,1.34154054040022e+18,"#COVID19 #corona  #Sars-cov2 

Where Gvts, Farma lure you into unproven unsubstanciated unguaranteed unsafe vaccine 'or else' , for months sensible phycisians use proven existing

IVERMECTIN

So whats your excuse use people guineas!? 

ShareCare



#AX0","['COVID19', 'corona', 'Sars', 'AX0']",FALSE,0.0,0.0,FALSE,Covid19 vaccine,3068GC 85 Rotterdam NL,4.0,,,,neg
Thu Dec 03 23:45:24 +0000 2020,1.33464493695273e+18,If TOP SCIENTISTS warned you there’s a “chance” the experimental Covid19 vaccine could cause permanent infertility or even death would you still take it? What about your kids?  DON’T WATCH TODAY’S The HighWire if you don’t want an expert opinion. #BeBrave,['BeBrave'],FALSE,714.0,1420.0,FALSE,Covid19 vaccine,"Los Angeles, CA",1.0,Los Angeles,CA,United States,neg
Tue Dec 22 02:00:33 +0000 2020,1.34120193009015e+18,A new STAT-Harris poll shows that 75% of Americans would support President-elect Joe Biden issuing a mask mandate.,[],FALSE,32.0,90.0,FALSE,Covid19 vaccine,,0.0,,,,neu
Tue Dec 22 09:46:55 +0000 2020,1.34131929823778e+18,"JUST IN - BioNTech says can make mutation-beating vaccine in six weeks. Yesterday, the pharma company stated its current vaccine is effective against the new #COVID19 variant.",['COVID19'],FALSE,313.0,928.0,,Covid19 vaccine,Join our community 👉,1.0,,,,neu
Tue Dec 22 20:18:44 +0000 2020,1.3414782999194e+18,"I’m tired of people dying. It is too late for the 1.7 million people who have lost their lives from COVID-19, including my own grandfather, but the COVID-19 vaccine is just in time for the rest of us. It will only work if we use it, though.

#covid19 #vaccine #IGotTheShot","['covid19', 'vaccine', 'IGotTheShot']",FALSE,2.0,23.0,FALSE,Covid19 vaccine,"Durham, NC",3.0,Durham,NC,United States,pos
Mon Dec 21 21:14:31 +0000 2020,1.34112995033056e+18,"Duke Health is scaling up the number of daily COVID-19 vaccinations.  &amp;  toured the logistical effort. “The start of vaccinations has been a beacon of hope,” according to Dr. Thomas Owens,  president.



#COVID19",['COVID19'],FALSE,6.0,35.0,FALSE,Covid19 vaccine,"Durham, North Carolina",1.0,Durham,NC,United States,pos
Wed Dec 23 00:25:06 +0000 2020,1.34154030009593e+18,Subscribe to KEVEZE74 for more content!! Latest episode of the VENTURE SEASON PODCAST w/ &amp;  out now!!! #covi̇d19 #vaccine #ventureseasonpodcast #ventureseason #venturegang,"['covi̇d19', 'vaccine', 'ventureseasonpodcast', 'ventureseason', 'venturegang']",FALSE,0.0,0.0,FALSE,Covid19 vaccine,"North Carolina, USA",5.0,,NC,United States,neu
Sun Dec 20 20:02:31 +0000 2020,1.34074944174207e+18,"I ***love*** that I'm getting a daily text message to monitor any post-#vaccine symptoms i might be having. 

This is #digitalhealth #publichealth done right - allowing real time, national Phase 4 monitoring of our #covid19 rollout.⭐","['vaccine', 'digitalhealth', 'publichealth', 'covid19']",FALSE,62.0,695.0,FALSE,Covid19 vaccine,Providence RI,4.0,Providence,RI,United States,pos
Tue Dec 22 14:06:09 +0000 2020,1.34138453696233e+18,"Clip of my comment on #COVID19 vaccines by  on 28 Sep.
- Vaccine is not a magic term
- SARS-CoV-2 is enhanced SARS virus
- Difficult to get effective vaccine, if viruses keep mutant, or more novel viruses released by CCP later",['COVID19'],TRUE,549.0,1077.0,FALSE,Covid19 vaccine,,1.0,,,,neg
Tue Dec 22 22:17:36 +0000 2020,1.34150821443789e+18,"7) BOTTOMLINE: Because of Trump’s political hardball, and his America First demands, America is now falling behind in the vaccine. Thanks Trump. #COVID19",['COVID19'],FALSE,77.0,188.0,FALSE,Covid19 vaccine,Washington DC & Virginia,1.0,,DC,United States,neg
Tue Dec 22 16:00:11 +0000 2020,1.34141323290966e+18,"There are growing suspicions that nanoparticles in Pfizer’s #COVID19 vaccine are what triggered severe, allergy-like reactions in at least eight people who received the shot over the past two weeks.",['COVID19'],FALSE,12.0,22.0,FALSE,Covid19 vaccine,"Washington, D.C.",1.0,,DC,United States,neg
Tue Dec 22 20:10:39 +0000 2020,1.34147626229294e+18,It occurs to me - and I’m not even in government or an Etonian - is we need to find a way to get people enrolled with NHS surgeries who aren’t already as quickly as possible as otherwise they can’t get the #COVID19 vaccine. Unless they’re called Murdoch.,['COVID19'],FALSE,19.0,61.0,FALSE,Covid19 vaccine,London,1.0,,,,neg
